Element_Count,Base_Value_Total,Base_Value_Avg,GOE_Avg,GOE_Min,GOE_Max,Negative_GOE_Count,Second_Half_Count,Skating_Skills,Performance,Composition,Interpretation_Music,Deductions_Falls,Deductions_CostumeOrPropFailure,Deductions_TimeViolation,Qualified
9,25.22,2.802222222222222,0.18888888888888888,-0.18,0.7,2,3,3.75,3.75,3.69,3.69,0.0,0.0,0.0,1
9,28.04,3.1155555555555554,-0.18666666666666665,-1.65,0.13,4,2,3.63,3.38,3.44,3.44,-0.5,0.0,0.0,1
9,26.03,2.8922222222222222,-0.14777777777777776,-1.65,0.46,3,3,3.75,3.38,3.69,3.38,-1.0,0.0,0.0,1
9,28.240000000000002,3.137777777777778,-0.13555555555555554,-1.32,0.88,5,3,3.38,3.06,3.31,3.31,-0.5,-1.0,0.0,1
9,24.85,2.761111111111111,-0.03888888888888889,-0.74,0.46,3,3,3.19,3.13,3.38,3.44,0.0,0.0,0.0,1
9,23.39,2.598888888888889,-0.08444444444444445,-1.32,0.75,4,2,3.56,3.44,3.69,3.44,-0.5,0.0,0.0,1
9,23.16,2.5733333333333333,-0.1111111111111111,-0.9,0.26,5,3,3.5,3.13,3.5,3.0,-0.5,0.0,0.0,0
9,22.7,2.522222222222222,-0.03888888888888889,-0.5,0.25,4,2,3.13,2.81,2.94,2.88,0.0,0.0,0.0,0
9,21.79,2.421111111111111,-0.034444444444444465,-0.68,0.21,4,3,3.19,3.0,3.06,3.06,0.0,0.0,0.0,0
9,22.5,2.5,-0.08444444444444445,-0.45,0.08,5,2,2.88,2.63,2.75,2.56,0.0,0.0,0.0,0
9,18.1,2.011111111111111,-0.06888888888888889,-0.84,0.23,2,2,3.38,3.06,3.38,3.13,-1.0,0.0,0.0,0
9,17.53,1.9477777777777778,-0.07888888888888888,-0.84,0.5,3,3,3.13,2.94,3.25,3.13,-0.5,0.0,0.0,0
9,20.12,2.2355555555555555,-0.26333333333333336,-1.05,0.39,4,3,3.13,2.63,3.25,3.19,-1.5,0.0,0.0,0
9,17.45,1.9388888888888889,-0.26,-0.86,0.11,7,2,2.75,2.44,2.81,2.5,-1.0,0.0,0.0,0
9,36.17,4.018888888888889,0.12555555555555556,-0.6,0.53,3,3,4.31,4.0,4.44,4.0,-0.5,0.0,0.0,1
9,30.9,3.433333333333333,-0.5366666666666666,-2.45,0.39,4,3,4.06,3.69,4.0,4.0,-1.0,0.0,0.0,1
9,19.47,2.163333333333333,0.00555555555555556,-0.9,0.66,4,3,3.81,3.38,3.75,3.63,-0.5,0.0,0.0,1
9,21.87,2.43,-0.14555555555555555,-1.05,0.23,3,2,3.38,3.06,3.38,3.13,-0.5,0.0,0.0,1
9,19.67,2.1855555555555557,-0.053333333333333344,-1.05,0.11,1,3,3.63,3.31,3.31,3.13,-0.5,0.0,0.0,0
9,19.05,2.1166666666666667,-0.09000000000000001,-0.76,0.32,3,3,3.44,3.25,3.25,3.13,0.0,0.0,0.0,0
9,17.490000000000002,1.9433333333333336,-0.16444444444444445,-0.65,0.56,5,3,3.06,3.06,3.31,3.06,0.0,0.0,0.0,0
9,17.5,1.9444444444444444,-0.16444444444444445,-0.53,0.25,5,2,2.94,3.0,3.38,2.81,0.0,0.0,0.0,0
9,14.41,1.6011111111111112,-0.06888888888888889,-0.36,0.22,4,1,3.31,3.25,3.31,3.19,0.0,0.0,-0.5,0
8,16.53,2.06625,-0.06125,-0.54,0.21,4,2,3.31,2.75,2.81,2.56,0.0,-1.0,0.0,0
9,18.25,2.0277777777777777,-0.23666666666666666,-0.84,0.13,5,2,2.94,2.75,3.0,2.88,-0.5,0.0,0.0,0
9,18.12,2.0133333333333336,-0.2822222222222222,-0.84,0.0,7,3,2.94,2.75,2.81,2.75,-0.5,0.0,0.0,0
9,17.950000000000003,1.9944444444444447,-0.4,-1.05,0.0,7,3,2.5,2.31,2.5,2.25,-1.0,0.0,0.0,0
9,12.67,1.4077777777777778,-0.31666666666666665,-0.65,0.0,8,3,2.19,1.88,2.31,2.06,-1.0,0.0,0.0,0
9,35.68,3.964444444444444,0.31666666666666665,-0.52,0.75,1,2,4.38,4.19,4.38,4.13,0.0,0.0,0.0,1
9,36.14,4.015555555555555,0.02555555555555556,-0.69,0.38,3,3,4.19,3.75,4.0,3.75,0.0,0.0,0.0,1
9,25.75,2.861111111111111,0.15111111111111108,-0.11,0.39,1,3,3.63,3.56,3.75,3.63,0.0,0.0,0.0,1
9,25.45,2.8277777777777775,0.05555555555555555,-0.36,0.44,2,3,3.5,3.38,3.38,3.31,0.0,0.0,0.0,1
9,24.490000000000002,2.7211111111111115,-0.009999999999999997,-0.59,0.26,2,3,3.5,3.5,3.44,3.38,0.0,0.0,0.0,1
9,24.2,2.6888888888888887,-0.02666666666666666,-0.42,0.15,2,3,3.13,2.81,3.06,3.0,0.0,0.0,0.0,1
9,19.71,2.19,-0.17777777777777778,-0.95,0.18,4,2,3.31,3.13,3.31,3.19,0.0,0.0,0.0,0
9,21.240000000000002,2.3600000000000003,-0.20555555555555555,-0.71,0.21,4,1,3.06,2.69,3.25,3.13,0.0,0.0,0.0,0
9,20.93,2.3255555555555554,-0.13333333333333333,-0.58,0.26,3,3,3.0,2.56,3.19,2.88,0.0,0.0,0.0,0
9,18.47,2.052222222222222,-0.14,-0.71,0.7,5,2,2.81,2.69,2.94,2.69,0.0,0.0,0.0,0
9,17.13,1.9033333333333333,-0.15555555555555556,-0.84,0.16,3,3,3.06,2.56,2.88,2.63,0.0,0.0,0.0,0
9,17.85,1.9833333333333334,-0.08666666666666667,-0.34,0.15,4,3,2.56,2.13,2.5,2.06,0.0,0.0,0.0,0
9,17.69,1.9655555555555557,-0.3422222222222222,-1.05,0.16,7,3,2.81,2.38,2.81,2.31,-0.5,0.0,0.0,0
9,15.7,1.7444444444444445,-0.27888888888888885,-0.72,0.0,7,3,2.44,2.06,2.69,2.5,0.0,0.0,0.0,0
9,23.62,2.6244444444444444,0.05777777777777778,-0.58,0.54,3,2,4.0,3.88,4.0,3.94,0.0,0.0,0.0,1
9,21.71,2.4122222222222223,0.038888888888888896,-1.05,0.39,2,3,4.06,3.69,4.0,3.75,-0.5,0.0,0.0,1
9,24.15,2.683333333333333,0.05777777777777778,-0.68,0.53,3,3,3.44,3.5,3.69,3.5,-0.5,0.0,0.0,1
9,20.28,2.2533333333333334,-0.018888888888888875,-0.63,0.44,4,3,3.56,3.25,3.69,3.38,0.0,0.0,0.0,1
9,21.17,2.352222222222222,-0.14888888888888893,-1.05,0.18,5,3,3.38,3.31,3.56,3.25,-0.5,0.0,0.0,0
9,21.54,2.393333333333333,-0.10222222222222221,-0.84,0.23,5,3,3.13,2.81,3.06,2.88,0.0,0.0,0.0,0
9,21.64,2.4044444444444446,-0.29666666666666663,-0.62,-0.03,9,3,2.69,2.63,2.81,2.75,-0.5,0.0,0.0,0
9,18.42,2.046666666666667,-0.2222222222222222,-1.05,0.23,4,3,2.94,2.69,3.0,2.56,-1.0,0.0,0.0,0
9,16.59,1.8433333333333333,-0.19333333333333333,-0.9,0.44,6,2,3.06,2.81,3.13,3.13,-1.5,0.0,0.0,0
9,16.87,1.8744444444444446,-0.21888888888888888,-0.63,0.16,5,3,2.81,2.38,2.75,2.25,0.0,0.0,0.0,0
9,14.0,1.5555555555555556,-0.10222222222222223,-0.42,0.29,7,3,2.75,2.31,2.56,2.25,0.0,0.0,0.0,0
9,14.49,1.61,-0.29555555555555557,-0.9,0.07,5,3,2.63,2.31,2.63,2.5,-1.0,0.0,0.0,0
